district,name,Funding Source,Tax Allocation Year,variable,value
17,Trey Paradee,LIHTC,2017,Average Allocation per Tax Credit Unit,6200.03
17,Trey Paradee,LIHTC,2022,Average Allocation per Tax Credit Unit,0.0
18,Dave Wilson,LIHTC,2020,Average Allocation per Tax Credit Unit,19002.5
18,Dave Wilson,LIHTC,2021,Average Allocation per Tax Credit Unit,19090.35714285714
19,Brian G. Pettyjohn,LIHTC,2017,Average Allocation per Tax Credit Unit,6716.823529411765
19,Brian G. Pettyjohn,LIHTC,2018,Average Allocation per Tax Credit Unit,8310.558823529413
19,Brian G. Pettyjohn,LIHTC,2019,Average Allocation per Tax Credit Unit,15027.411764705883
19,Brian G. Pettyjohn,LIHTC,2022,Average Allocation per Tax Credit Unit,33686.166666666664
2,Darius J. Brown,LIHTC,2017,Average Allocation per Tax Credit Unit,14690.981132075472
2,Darius J. Brown,LIHTC,2019,Average Allocation per Tax Credit Unit,17902.372881355932
2,Darius J. Brown,LIHTC,2020,Average Allocation per Tax Credit Unit,12420.92
2,Darius J. Brown,LIHTC,2021,Average Allocation per Tax Credit Unit,20000.0
2,Darius J. Brown,LIHTC,2022,Average Allocation per Tax Credit Unit,19607.843137254902
20,Gerald W. Hocker,LIHTC,2016,Average Allocation per Tax Credit Unit,20845.71052631579
20,Gerald W. Hocker,LIHTC,2017,Average Allocation per Tax Credit Unit,18653.160714285714
20,Gerald W. Hocker,LIHTC,2020,Average Allocation per Tax Credit Unit,23809.52380952381
20,Gerald W. Hocker,LIHTC,2021,Average Allocation per Tax Credit Unit,23809.52380952381
21,Bryant L. Richardson,LIHTC,2018,Average Allocation per Tax Credit Unit,18923.352941176472
3,Elizabeth Lockman,LIHTC,2016,Average Allocation per Tax Credit Unit,17908.56862745098
3,Elizabeth Lockman,LIHTC,2018,Average Allocation per Tax Credit Unit,15778.181102362205
3,Elizabeth Lockman,LIHTC,2019,Average Allocation per Tax Credit Unit,11847.022346368714
3,Elizabeth Lockman,LIHTC,2020,Average Allocation per Tax Credit Unit,19230.76923076923
3,Elizabeth Lockman,LIHTC,2021,Average Allocation per Tax Credit Unit,7751.937984496124
3,Elizabeth Lockman,LIHTC,2022,Average Allocation per Tax Credit Unit,18867.924528301886
6,Russ Huxtable,LIHTC,2016,Average Allocation per Tax Credit Unit,16188.875
4,Laura Sturgeon,LIHTC,0,Average Allocation per Tax Credit Unit,0.0
7,Spiros Mantzavinos,LIHTC,0,Average Allocation per Tax Credit Unit,0.0
12,Nicole Poore,LIHTC,0,Average Allocation per Tax Credit Unit,0.0
9,Jack Walsh,LIHTC,0,Average Allocation per Tax Credit Unit,0.0
5,Kyle Evans Gay,LIHTC,0,Average Allocation per Tax Credit Unit,0.0
15,Dave Lawson,LIHTC,0,Average Allocation per Tax Credit Unit,0.0
8,David P. Sokola,LIHTC,0,Average Allocation per Tax Credit Unit,0.0
District Average,0,LIHTC,2016,# of Tax Credit Units,48.25
District Average,0,LIHTC,2017,# of Tax Credit Units,76.14285714285714
District Average,0,LIHTC,2018,# of Tax Credit Units,65.0
District Average,0,LIHTC,2019,# of Tax Credit Units,90.66666666666667
District Average,0,LIHTC,2020,# of Tax Credit Units,56.4
District Average,0,LIHTC,2021,# of Tax Credit Units,80.2
District Average,0,LIHTC,2022,# of Tax Credit Units,55.666666666666664
District Average,0,LIHTC,2016,ALLOCATION AMOUNT,681844.75
District Average,0,LIHTC,2017,ALLOCATION AMOUNT,796096.8571428572
District Average,0,LIHTC,2018,ALLOCATION AMOUNT,976594.0
District Average,0,LIHTC,2019,ALLOCATION AMOUNT,1229263.0
District Average,0,LIHTC,2020,ALLOCATION AMOUNT,777159.2
District Average,0,LIHTC,2021,ALLOCATION AMOUNT,1351346.25
District Average,0,LIHTC,2022,ALLOCATION AMOUNT,951870.25
District Average,0,LIHTC,2016,Average Allocation per 100 Persons,1570.611211482046
District Average,0,LIHTC,2017,Average Allocation per 100 Persons,1784.5804098741835
District Average,0,LIHTC,2018,Average Allocation per 100 Persons,2399.5972772828195
District Average,0,LIHTC,2019,Average Allocation per 100 Persons,3013.8720338720013
District Average,0,LIHTC,2020,Average Allocation per 100 Persons,1744.956880418787
District Average,0,LIHTC,2021,Average Allocation per 100 Persons,2919.1989038943975
District Average,0,LIHTC,2022,Average Allocation per 100 Persons,2183.140494240123
District Average,0,LIHTC,2016,Average Allocation per Tax Credit Unit,15485.305899552804
District Average,0,LIHTC,2017,Average Allocation per Tax Credit Unit,11161.192737664534
District Average,0,LIHTC,2018,Average Allocation per Tax Credit Unit,14337.364289022697
District Average,0,LIHTC,2019,Average Allocation per Tax Credit Unit,14925.602330810178
District Average,0,LIHTC,2020,Average Allocation per Tax Credit Unit,16131.742608058606
District Average,0,LIHTC,2021,Average Allocation per Tax Credit Unit,17662.954734219267
District Average,0,LIHTC,2022,Average Allocation per Tax Credit Unit,24978.07386083364
District Average,0,LIHTC,2016,Average Population per Tax Credit Unit,1006.648840621775
District Average,0,LIHTC,2017,Average Population per Tax Credit Unit,718.4383489484989
District Average,0,LIHTC,2018,Average Population per Tax Credit Unit,1009.141114713602
District Average,0,LIHTC,2019,Average Population per Tax Credit Unit,800.0548986188547
District Average,0,LIHTC,2020,Average Population per Tax Credit Unit,948.1227287131107
District Average,0,LIHTC,2021,Average Population per Tax Credit Unit,761.2124813584348
District Average,0,LIHTC,2022,Average Population per Tax Credit Unit,1022.7063923082096
District Average,0,LIHTC,2016,Population,43941.25
District Average,0,LIHTC,2017,Population,45121.57142857143
District Average,0,LIHTC,2018,Population,43857.333333333336
District Average,0,LIHTC,2019,Population,43512.666666666664
District Average,0,LIHTC,2020,Population,45056.8
District Average,0,LIHTC,2021,Population,47713.4
District Average,0,LIHTC,2022,Population,45410.333333333336
