district,name,Funding Source,Tax Allocation Year,variable,value
17,Melissa Minor-Brown,LIHTC,0,Population,23380.0
16,Franklin D. Cooke,LIHTC,0,Population,22159.0
19,Kimberly Williams,LIHTC,0,Population,22771.0
41,Richard G. Collins,LIHTC,2017,Population,24573.0
38,Ronald E. Gray,LIHTC,0,Population,25710.0
37,Ruth Briggs King,LIHTC,0,Population,25301.0
14,Peter C. Schwartzkopf,LIHTC,0,Population,23758.0
36,Bryan W. Shupe,LIHTC,0,Population,23260.0
33,Charles S Postles Jr.,LIHTC,0,Population,22718.0
32,Kerri Evelyn Harris,LIHTC,0,Population,23598.0
28,William J. Carson,LIHTC,0,Population,22779.0
2,Stephanie T. Bolden,LIHTC,0,Population,21172.0
6,Debra Heffernan,LIHTC,0,Population,22587.0
29,William Bush,LIHTC,0,Population,22946.0
8,Sherae'a Moore,LIHTC,0,Population,23916.0
15,Valerie Longhurst,LIHTC,0,Population,23686.0
27,Eric Morrison,LIHTC,0,Population,23981.0
5,Kendra Johnson,LIHTC,2017,Population,23678.0
26,Madinah Wilson-Anton,LIHTC,0,Population,23544.0
24,Edward S. Osienski,LIHTC,2017,Population,23230.0
25,Cyndie Romer,LIHTC,0,Population,21645.0
18,Sophie Phillips,LIHTC,0,Population,22436.0
23,Paul S. Baumbach,LIHTC,0,Population,23293.0
13,DeShanna Neal,LIHTC,0,Population,22384.0
3,Sherry Dorsey Walker,LIHTC,0,Population,20525.0
1,Nnamdi O. Chukwuocha,LIHTC,2017,Population,22303.0
4,Jeff Hilovsky,LIHTC,2017,Population,22039.0
21,Michael Ramone,LIHTC,0,Population,23281.0
22,Michael F. Smith,LIHTC,0,Population,22470.0
20,Stell Parker Selby,LIHTC,0,Population,24976.0
12,Krista Griffith,LIHTC,0,Population,23083.0
11,Jeffrey N. Spiegelman,LIHTC,0,Population,20905.0
7,Larry Lambert,LIHTC,0,Population,22072.0
10,Sean Matthews,LIHTC,0,Population,22042.0
40,Timothy D. Dukes,LIHTC,0,Population,23001.0
39,Daniel B. Short,LIHTC,2018,Population,22241.0
35,Jesse R. Vanderwende,LIHTC,2018,Population,23569.0
30,Shannon Morris,LIHTC,0,Population,21166.0
34,Lyndon D. Yearick,LIHTC,0,Population,24014.0
31,Sean M. Lynn,LIHTC,0,Population,23663.0
9,Kevin S Hensley,LIHTC,0,Population,26872.0
17,Melissa Minor-Brown,LIHTC,0,Population,23219.0
16,Franklin D. Cooke,LIHTC,0,Population,22037.0
19,Kimberly Williams,LIHTC,0,Population,23166.0
41,Richard G. Collins,LIHTC,0,Population,24306.0
38,Ronald E. Gray,LIHTC,0,Population,26655.0
37,Ruth Briggs King,LIHTC,0,Population,26031.0
14,Peter C. Schwartzkopf,LIHTC,0,Population,24882.0
36,Bryan W. Shupe,LIHTC,0,Population,23631.0
33,Charles S Postles Jr.,LIHTC,0,Population,23452.0
32,Kerri Evelyn Harris,LIHTC,0,Population,24091.0
28,William J. Carson,LIHTC,0,Population,22785.0
2,Stephanie T. Bolden,LIHTC,0,Population,21348.0
6,Debra Heffernan,LIHTC,0,Population,22716.0
29,William Bush,LIHTC,0,Population,22943.0
8,Sherae'a Moore,LIHTC,0,Population,24401.0
15,Valerie Longhurst,LIHTC,0,Population,23075.0
27,Eric Morrison,LIHTC,0,Population,23210.0
5,Kendra Johnson,LIHTC,0,Population,23761.0
26,Madinah Wilson-Anton,LIHTC,0,Population,23547.0
24,Edward S. Osienski,LIHTC,0,Population,22811.0
25,Cyndie Romer,LIHTC,0,Population,22101.0
18,Sophie Phillips,LIHTC,0,Population,22233.0
23,Paul S. Baumbach,LIHTC,0,Population,23125.0
13,DeShanna Neal,LIHTC,0,Population,22673.0
3,Sherry Dorsey Walker,LIHTC,2018,Population,19408.0
1,Nnamdi O. Chukwuocha,LIHTC,0,Population,22505.0
4,Jeff Hilovsky,LIHTC,2018,Population,22319.0
21,Michael Ramone,LIHTC,0,Population,22634.0
22,Michael F. Smith,LIHTC,0,Population,22273.0
20,Stell Parker Selby,LIHTC,0,Population,25224.0
12,Krista Griffith,LIHTC,0,Population,23435.0
11,Jeffrey N. Spiegelman,LIHTC,0,Population,21237.0
7,Larry Lambert,LIHTC,0,Population,21789.0
10,Sean Matthews,LIHTC,0,Population,21946.0
40,Timothy D. Dukes,LIHTC,0,Population,22853.0
39,Daniel B. Short,LIHTC,0,Population,22592.0
35,Jesse R. Vanderwende,LIHTC,2019,Population,23912.0
30,Shannon Morris,LIHTC,0,Population,21113.0
34,Lyndon D. Yearick,LIHTC,0,Population,24351.0
31,Sean M. Lynn,LIHTC,0,Population,23637.0
9,Kevin S Hensley,LIHTC,0,Population,28661.0
17,Melissa Minor-Brown,LIHTC,0,Population,22710.0
16,Franklin D. Cooke,LIHTC,0,Population,22459.0
19,Kimberly Williams,LIHTC,0,Population,22338.0
41,Richard G. Collins,LIHTC,0,Population,24175.0
38,Ronald E. Gray,LIHTC,0,Population,27525.0
37,Ruth Briggs King,LIHTC,0,Population,27421.0
14,Peter C. Schwartzkopf,LIHTC,0,Population,25491.0
36,Bryan W. Shupe,LIHTC,0,Population,23469.0
33,Charles S Postles Jr.,LIHTC,0,Population,23403.0
32,Kerri Evelyn Harris,LIHTC,0,Population,24263.0
28,William J. Carson,LIHTC,0,Population,22945.0
2,Stephanie T. Bolden,LIHTC,2019,Population,21794.0
6,Debra Heffernan,LIHTC,0,Population,23208.0
29,William Bush,LIHTC,0,Population,24053.0
8,Sherae'a Moore,LIHTC,0,Population,24369.0
15,Valerie Longhurst,LIHTC,0,Population,23208.0
27,Eric Morrison,LIHTC,0,Population,23228.0
5,Kendra Johnson,LIHTC,0,Population,22377.0
26,Madinah Wilson-Anton,LIHTC,0,Population,23871.0
24,Edward S. Osienski,LIHTC,0,Population,23066.0
25,Cyndie Romer,LIHTC,0,Population,22348.0
18,Sophie Phillips,LIHTC,0,Population,22799.0
23,Paul S. Baumbach,LIHTC,0,Population,23284.0
13,DeShanna Neal,LIHTC,0,Population,22864.0
3,Sherry Dorsey Walker,LIHTC,2019,Population,19015.0
1,Nnamdi O. Chukwuocha,LIHTC,0,Population,21743.0
4,Jeff Hilovsky,LIHTC,2019,Population,21938.0
21,Michael Ramone,LIHTC,0,Population,22570.0
22,Michael F. Smith,LIHTC,0,Population,21838.0
20,Stell Parker Selby,LIHTC,0,Population,26946.0
12,Krista Griffith,LIHTC,0,Population,23290.0
11,Jeffrey N. Spiegelman,LIHTC,0,Population,21592.0
7,Larry Lambert,LIHTC,0,Population,22384.0
10,Sean Matthews,LIHTC,0,Population,22145.0
40,Timothy D. Dukes,LIHTC,0,Population,23917.0
35,Jesse R. Vanderwende,LIHTC,0,Population,24646.0
30,Shannon Morris,LIHTC,2020,Population,20520.0
34,Lyndon D. Yearick,LIHTC,0,Population,24490.0
31,Sean M. Lynn,LIHTC,0,Population,23737.0
9,Kevin S Hensley,LIHTC,0,Population,30537.0
17,Melissa Minor-Brown,LIHTC,0,Population,23703.0
16,Franklin D. Cooke,LIHTC,0,Population,21924.0
19,Kimberly Williams,LIHTC,0,Population,21750.0
41,Richard G. Collins,LIHTC,2020,Population,22522.0
38,Ronald E. Gray,LIHTC,0,Population,27703.0
37,Ruth Briggs King,LIHTC,0,Population,31004.0
14,Peter C. Schwartzkopf,LIHTC,0,Population,26190.0
36,Bryan W. Shupe,LIHTC,0,Population,23397.0
33,Charles S Postles Jr.,LIHTC,0,Population,24038.0
32,Kerri Evelyn Harris,LIHTC,0,Population,25603.0
28,William J. Carson,LIHTC,0,Population,22581.0
2,Stephanie T. Bolden,LIHTC,2020,Population,21782.0
6,Debra Heffernan,LIHTC,0,Population,21705.0
29,William Bush,LIHTC,0,Population,24632.0
8,Sherae'a Moore,LIHTC,2020,Population,24218.0
15,Valerie Longhurst,LIHTC,0,Population,24978.0
27,Eric Morrison,LIHTC,0,Population,23343.0
5,Kendra Johnson,LIHTC,0,Population,22135.0
26,Madinah Wilson-Anton,LIHTC,0,Population,23141.0
24,Edward S. Osienski,LIHTC,0,Population,23233.0
25,Cyndie Romer,LIHTC,0,Population,22793.0
18,Sophie Phillips,LIHTC,0,Population,23173.0
23,Paul S. Baumbach,LIHTC,0,Population,22531.0
13,DeShanna Neal,LIHTC,0,Population,23216.0
3,Sherry Dorsey Walker,LIHTC,2020,Population,19542.0
1,Nnamdi O. Chukwuocha,LIHTC,0,Population,22307.0
4,Jeff Hilovsky,LIHTC,0,Population,20375.0
21,Michael Ramone,LIHTC,0,Population,22454.0
22,Michael F. Smith,LIHTC,0,Population,22411.0
20,Stell Parker Selby,LIHTC,0,Population,28172.0
12,Krista Griffith,LIHTC,0,Population,24385.0
11,Jeffrey N. Spiegelman,LIHTC,0,Population,22401.0
7,Larry Lambert,LIHTC,0,Population,22282.0
10,Sean Matthews,LIHTC,0,Population,21510.0
40,Timothy D. Dukes,LIHTC,0,Population,23754.0
39,Daniel B. Short,LIHTC,0,Population,22859.0
35,Jesse R. Vanderwende,LIHTC,0,Population,23016.0
30,Shannon Morris,LIHTC,2021,Population,20628.0
34,Lyndon D. Yearick,LIHTC,0,Population,24546.0
31,Sean M. Lynn,LIHTC,0,Population,24016.0
9,Kevin S Hensley,LIHTC,0,Population,32100.0
17,Melissa Minor-Brown,LIHTC,0,Population,23057.0
16,Franklin D. Cooke,LIHTC,0,Population,21968.0
19,Kimberly Williams,LIHTC,0,Population,22717.0
41,Richard G. Collins,LIHTC,2021,Population,26328.0
38,Ronald E. Gray,LIHTC,0,Population,27926.0
37,Ruth Briggs King,LIHTC,0,Population,29595.0
14,Peter C. Schwartzkopf,LIHTC,0,Population,27868.0
36,Bryan W. Shupe,LIHTC,0,Population,23979.0
33,Charles S Postles Jr.,LIHTC,0,Population,23585.0
32,Kerri Evelyn Harris,LIHTC,0,Population,25024.0
28,William J. Carson,LIHTC,2021,Population,23386.0
2,Stephanie T. Bolden,LIHTC,2021,Population,22198.0
6,Debra Heffernan,LIHTC,0,Population,21968.0
29,William Bush,LIHTC,0,Population,25731.0
8,Sherae'a Moore,LIHTC,0,Population,24756.0
15,Valerie Longhurst,LIHTC,0,Population,25564.0
27,Eric Morrison,LIHTC,0,Population,23570.0
5,Kendra Johnson,LIHTC,0,Population,21808.0
26,Madinah Wilson-Anton,LIHTC,0,Population,24550.0
24,Edward S. Osienski,LIHTC,0,Population,23198.0
25,Cyndie Romer,LIHTC,0,Population,22445.0
18,Sophie Phillips,LIHTC,0,Population,24879.0
23,Paul S. Baumbach,LIHTC,0,Population,21525.0
13,DeShanna Neal,LIHTC,0,Population,24074.0
3,Sherry Dorsey Walker,LIHTC,2021,Population,19796.0
1,Nnamdi O. Chukwuocha,LIHTC,0,Population,22262.0
4,Jeff Hilovsky,LIHTC,0,Population,21154.0
21,Michael Ramone,LIHTC,0,Population,23425.0
22,Michael F. Smith,LIHTC,0,Population,22878.0
20,Stell Parker Selby,LIHTC,0,Population,28720.0
12,Krista Griffith,LIHTC,0,Population,23385.0
11,Jeffrey N. Spiegelman,LIHTC,0,Population,22429.0
7,Larry Lambert,LIHTC,0,Population,22773.0
10,Sean Matthews,LIHTC,0,Population,22452.0
41,Richard G. Collins,LIHTC,0,Population,26328.0
37,Ruth Briggs King,LIHTC,2022,Population,29595.0
28,William J. Carson,LIHTC,0,Population,23386.0
30,Shannon Morris,LIHTC,0,Population,20628.0
34,Lyndon D. Yearick,LIHTC,2022,Population,24546.0
31,Sean M. Lynn,LIHTC,2022,Population,24016.0
2,Stephanie T. Bolden,LIHTC,2022,Population,22198.0
3,Sherry Dorsey Walker,LIHTC,2022,Population,19796.0
1,Nnamdi O. Chukwuocha,LIHTC,2022,Population,22262.0
40,Timothy D. Dukes,LIHTC,0,Average Allocation per 100 Persons,0.0
39,Daniel B. Short,LIHTC,0,Average Allocation per 100 Persons,0.0
35,Jesse R. Vanderwende,LIHTC,0,Average Allocation per 100 Persons,0.0
30,Shannon Morris,LIHTC,0,Average Allocation per 100 Persons,0.0
34,Lyndon D. Yearick,LIHTC,0,Average Allocation per 100 Persons,0.0
31,Sean M. Lynn,LIHTC,0,Average Allocation per 100 Persons,0.0
9,Kevin S Hensley,LIHTC,0,Average Allocation per 100 Persons,0.0
17,Melissa Minor-Brown,LIHTC,0,Average Allocation per 100 Persons,0.0
16,Franklin D. Cooke,LIHTC,0,Average Allocation per 100 Persons,0.0
19,Kimberly Williams,LIHTC,0,Average Allocation per 100 Persons,0.0
41,Richard G. Collins,LIHTC,2016,Average Allocation per 100 Persons,3337.5621471306986
38,Ronald E. Gray,LIHTC,0,Average Allocation per 100 Persons,0.0
37,Ruth Briggs King,LIHTC,2016,Average Allocation per 100 Persons,2044.0498737373737
14,Peter C. Schwartzkopf,LIHTC,0,Average Allocation per 100 Persons,0.0
36,Bryan W. Shupe,LIHTC,0,Average Allocation per 100 Persons,0.0
33,Charles S Postles Jr.,LIHTC,0,Average Allocation per 100 Persons,0.0
32,Kerri Evelyn Harris,LIHTC,0,Average Allocation per 100 Persons,0.0
28,William J. Carson,LIHTC,0,Average Allocation per 100 Persons,0.0
2,Stephanie T. Bolden,LIHTC,0,Average Allocation per 100 Persons,0.0
6,Debra Heffernan,LIHTC,0,Average Allocation per 100 Persons,0.0
29,William Bush,LIHTC,0,Average Allocation per 100 Persons,0.0
8,Sherae'a Moore,LIHTC,0,Average Allocation per 100 Persons,0.0
15,Valerie Longhurst,LIHTC,0,Average Allocation per 100 Persons,0.0
27,Eric Morrison,LIHTC,0,Average Allocation per 100 Persons,0.0
